observation_date,ECOMSA
2011-01-01,9668.86
2011-04-01,10795.59
2011-07-01,12959.36
2011-10-01,11680.76
2012-01-01,13919.98
2012-04-01,14334.31
2012-07-01,16510.52
2012-10-01,15500.27
2013-01-01,15993.59
2013-04-01,15956.83
2013-07-01,19535.96
2013-10-01,17628.57
2014-01-01,19905.05
2014-04-01,19370.01
2014-07-01,22609.42
2014-10-01,20847.64
2015-01-01,25160.03
2015-04-01,26376.12
2015-07-01,30709.11
2015-10-01,28427.74
2016-01-01,31770.19
2016-04-01,33540.70
2016-07-01,35564.10
2016-10-01,36377.03
2017-01-01,41252.10
2017-04-01,47138.21
2017-07-01,56096.90
2017-10-01,52838.28
2018-01-01,56672.95
2018-04-01,63083.56
2018-07-01,76672.68
2018-10-01,75088.54
2019-01-01,78769.81
2019-04-01,87255.83
2019-07-01,99103.90
2019-10-01,103265.11
2020-01-01,101339.37
2020-04-01,111949.08
2020-07-01,148634.52
,
,
,
,
,
,
